algorithm,inputSize,inputType,timeNs,recursionDepth,comparisons,swaps
MergeSort,100,random,51400,0,479,0
QuickSort,100,random,119000,4,803,440
Select,100,random,46500,0,358,0
MergeSort,100,sorted,24200,0,204,0
QuickSort,100,sorted,49700,4,602,94
Select,100,sorted,32500,0,441,0
MergeSort,100,reverse,30500,0,460,0
QuickSort,100,reverse,67600,4,726,342
Select,100,reverse,47900,0,696,0
MergeSort,100,duplicates,34300,0,448,0
QuickSort,100,duplicates,62900,3,854,266
Select,100,duplicates,40300,0,585,0
MergeSort,1000,random,480800,0,8287,0
QuickSort,1000,random,987800,6,11153,5670
Select,1000,random,409400,0,7223,0
MergeSort,1000,sorted,334500,0,3532,0
QuickSort,1000,sorted,529400,6,10889,970
Select,1000,sorted,296300,0,5531,0
MergeSort,1000,reverse,293300,0,6884,0
QuickSort,1000,reverse,626000,6,9886,4692
Select,1000,reverse,206400,0,7946,0
MergeSort,1000,duplicates,69200,0,7873,0
QuickSort,1000,duplicates,682800,4,52774,4011
Select,1000,duplicates,494400,0,31280,0
MergeSort,5000,random,322400,0,53873,0
QuickSort,5000,random,1625200,7,74476,34165
Select,5000,random,455500,0,39290,0
MergeSort,5000,sorted,195000,0,22636,0
QuickSort,5000,sorted,928000,7,71279,4972
Select,5000,sorted,273500,0,28812,0
MergeSort,5000,reverse,366300,0,44324,0
QuickSort,5000,reverse,407200,7,77056,24134
Select,5000,reverse,195500,0,42526,0
MergeSort,5000,duplicates,352600,0,50333,0
QuickSort,5000,duplicates,5155600,3,1264892,20385
Select,5000,duplicates,8082600,0,966260,0
MergeSort,10000,random,1541800,0,117114,0
QuickSort,10000,random,1373400,8,153720,76300
Select,10000,random,338000,0,80876,0
MergeSort,10000,sorted,980700,0,50272,0
QuickSort,10000,sorted,1021900,8,163257,10020
Select,10000,sorted,165000,0,57797,0
MergeSort,10000,reverse,2283800,0,93648,0
QuickSort,10000,reverse,873300,9,155089,66972
Select,10000,reverse,246000,0,87340,0
MergeSort,10000,duplicates,1924400,0,106462,0
QuickSort,10000,duplicates,5926000,3,5040095,33834
Select,10000,duplicates,19949700,0,7446627,0
